36,244,92,0
43,48,120,0
41,103,494,0
6,108,805,0
23,1938,1247,0
26,132,414,0
36,225,372,1
11,12,105,1
2,311,845,1
35,205,301,0
36,17,50,1
16,201,196,0
22,76,778,0
42,398,159,0
8,259,793,1
30,206,353,1
23,1761,2130,1
15,169,396,0
3,75,149,1
30,557,417,0
22,529,352,1
24,731,794,1
13,494,736,1
12,160,933,0
9,370,202,1
34,516,63,0
40,307,414,0
24,25,276,0
37,11,17,1
3,66,136,1
13,407,599,1
34,364,503,1
23,256,2150,0
24,1666,99,0
41,561,659,1
43,232,295,0
24,1017,1103,1
18,93,158,0
24,172,1235,0
41,866,1113,1
43,307,301,0
33,227,358,1
24,1686,265,0
31,397,864,0
24,427,443,1
34,209,201,1
33,417,746,1
23,1114,1329,1
2,259,800,1
23,1015,1364,0
8,59,173,1
23,740,927,0
28,724,995,1
8,425,989,0
23,76,188,0
36,232,244,0
35,7,5,1
41,726,915,1
44,115,95,1
23,375,1208,0
23,69,51,1
27,50,323,0
33,151,164,1
12,96,244,1
9,645,998,1
24,1714,1008,0
3,171,156,0
34,376,177,0
41,1096,188,0
33,80,75,1
44,347,335,1
36,50,114,1
16,419,554,1
12,522,986,1
43,346,439,1
44,397,573,0
35,116,263,1
16,558,412,0
13,354,551,1
35,118,277,1
37,252,591,0
34,237,237,1
31,589,1077,1
18,258,582,1
31,49,1156,0
24,570,615,1
24,202,194,1
44,241,226,1
23,783,2067,0
8,398,1113,0
34,306,203,0
20,25,59,0
23,1637,1927,1
22,1095,1095,1
15,358,462,1
41,174,139,1
24,763,847,1
44,427,450,1
24,1534,1598,1
8,27,80,1
18,86,232,1
23,578,533,1
23,166,131,1
40,85,80,1
35,302,679,1
24,403,194,0
41,306,33,0
22,1042,964,1
22,980,906,0
11,10,87,1
33,105,90,1
24,113,96,1
24,63,46,1
34,303,743,0
18,169,453,1
2,333,868,1
12,339,864,0
24,99,999,0
28,658,934,1
26,463,708,0
23,1475,173,0
40,122,374,0
22,335,189,1
24,1037,1120,1
18,43,282,0
2,439,974,0
17,156,348,0
43,32,217,0
26,332,477,1
26,665,543,0
38,27,68,1
24,1261,1312,1
15,378,64,0
43,298,368,1
24,825,922,1
24,317,325,1
23,421,2290,0
28,332,513,0
43,10,4,1
39,91,47,0
24,1720,1776,1
6,429,383,0
8,179,224,0
22,529,191,0
8,265,831,1
42,441,61,0
23,1441,552,0
42,11,17,1
26,613,711,1
43,209,145,0
23,8,1,1
37,343,455,1
26,44,122,1
34,367,621,0
18,11,591,0
41,364,663,0
42,163,149,1
7,178,1071,1
35,526,1004,0
26,673,767,1
26,390,546,1
24,1431,1270,0
41,43,955,0
16,515,466,0
5,98,180,1
24,1452,1532,1
37,321,77,0
23,1327,1581,1
1,171,143,1
44,420,119,0
31,382,707,1
41,838,1082,1
40,34,34,1
8,299,1370,0
41,1379,434,0
30,114,49,0
22,602,411,1
3,119,400,0
42,550,278,0
24,403,982,0
8,352,1084,1
24,958,1432,0
31,671,200,0
26,121,119,0
9,415,283,1
23,1780,205,0
23,697,791,0
18,7,30,1
28,688,964,1
18,85,78,0
35,539,314,0
44,588,566,1
26,564,674,1
2,168,514,1
38,168,23,0
44,428,451,1
24,1054,1148,1
24,828,1714,0
37,29,39,1
7,193,1258,1
30,133,215,1
32,85,254,0
33,114,272,0
7,281,1123,0
23,903,1007,1
44,441,459,1
23,1103,1306,1
42,173,153,1
8,190,186,0
24,500,536,1
23,579,1589,0
24,1406,1409,1
23,1529,1781,1
44,529,528,1
31,618,1120,1
26,104,307,0
22,823,621,1
23,595,556,1
33,4,10,1
44,504,478,0
42,86,334,0
7,186,650,0
37,404,546,1
41,38,27,1
41,1176,1194,0
24,213,225,1
24,15,9,1
8,42,140,1
33,402,111,0
43,329,417,1
24,710,778,1
33,388,582,0
31,507,754,0
42,94,296,0
42,139,578,0
23,926,1048,1
24,629,676,1
38,65,122,1
43,352,444,1
30,81,158,1
24,777,878,1
13,464,745,0
40,185,243,1
24,960,1060,1
22,815,703,0
4,3,41,0
2,319,871,1
24,1396,338,0
35,367,818,1
27,87,395,0
23,578,442,0
5,126,250,1
35,387,200,0
23,758,836,1
42,239,213,1
13,389,497,0
35,437,802,0
23,476,422,1
37,439,611,1
8,30,1127,0
9,386,234,1
41,1143,1060,0
27,5,79,1
6,16,936,0
29,88,129,1
15,393,532,1
23,502,81,0
40,18,12,1
22,520,322,1
16,292,490,0
23,306,2226,0
40,25,16,1
44,10,11,1
22,791,589,1
23,796,863,1
24,137,152,1
41,1421,1392,0
33,75,69,1
23,1582,1840,1
41,606,916,0
44,158,136,1
12,402,891,1
6,173,382,1
3,2,38,0
24,923,1555,0
44,506,435,0
24,547,591,1
18,121,344,1
24,402,403,1
13,498,752,1
22,9,7,1
24,349,338,1
35,373,835,1
23,413,363,1
26,605,698,1
31,243,383,1
34,218,214,1
23,1275,2138,0
37,201,311,0
16,441,590,1
23,495,441,1
23,979,1121,1
34,151,500,0
23,1065,1938,0
9,627,698,0
26,53,197,0
41,1037,149,0
36,187,150,0
22,990,661,0
31,244,373,1
8,108,81,0
26,356,74,0
27,151,350,1
28,286,665,1
43,266,261,0
36,127,245,1
28,377,757,1
18,15,45,1
26,640,730,1
34,81,176,0
24,1396,112,0
24,1535,663,0
24,260,258,1
30,136,216,1
40,294,390,0
24,643,687,1
28,275,384,0
2,262,256,0
8,248,745,1
42,349,546,0
44,216,200,1
23,457,698,0
42,116,105,1
34,316,357,1
15,305,352,0
42,579,598,1
26,491,298,0
31,425,808,1
23,537,1059,0
24,517,569,1
32,147,316,1
24,1045,711,0
42,71,51,1
31,452,894,1
23,606,832,0
36,23,58,1
16,522,670,1
13,320,467,1
29,83,82,0
15,13,38,1
27,158,118,0
24,1024,1131,1
42,122,54,0
30,534,924,1
23,1520,1782,1
28,416,385,0
30,225,55,0
30,529,932,0
23,79,995,0
44,533,157,0
41,761,964,1
23,1675,772,0
41,1253,497,0
13,439,667,1
23,1284,1512,1
33,260,619,0
34,102,86,1
30,484,474,0
24,189,787,0
23,1347,1570,1
22,278,147,1
26,512,700,0
32,49,209,1
9,525,480,1
28,806,564,0
41,858,618,0
9,553,595,1
37,156,850,0
8,336,194,0
18,246,548,1
22,747,535,1
24,1137,1413,0
15,71,269,0
41,978,1228,1
3,41,484,0
8,361,1178,0
28,64,216,1
22,535,963,0
6,278,674,1
22,754,531,1
34,345,244,0
23,1759,2126,1
36,100,209,1
24,774,1732,0
24,321,1658,0
9,509,688,0
44,297,278,1
8,26,76,1
31,421,835,1
6,131,776,0
23,1221,1446,1
41,328,295,1
35,608,640,0
40,146,354,0
13,235,414,0
23,1107,638,0
28,544,850,1
42,577,4,0
24,1555,1660,1
7,127,593,1
26,538,664,1
41,747,1136,0
24,1373,1332,0
18,237,547,1
6,361,765,0
38,127,29,0
34,376,537,1
28,307,683,1
23,553,513,1
2,98,414,0
24,1021,245,0
24,400,1787,0
40,148,131,0
12,370,275,0
13,357,435,0
15,183,2,0
33,345,655,1
8,353,1131,1
24,1738,270,0
22,1031,948,1
7,67,205,1
40,88,79,1
44,11,527,0
8,189,1104,0
28,206,575,1
23,571,528,1
28,65,223,1
1,140,109,1
42,36,44,1
15,173,270,0
24,109,92,1
44,34,56,0
9,584,996,0
16,503,649,1
28,82,261,1
35,284,756,0
31,144,32,0
22,514,530,0
24,739,836,1
35,375,1051,0
16,324,374,0
23,519,988,0
37,325,400,1
23,415,934,0
39,54,245,0
2,193,1035,0
41,881,444,0
42,51,49,1
44,52,48,1
28,692,950,1
44,609,607,1
31,102,149,1
40,302,372,0
23,231,183,1
24,1426,1488,1
22,841,203,0
22,492,305,1
23,1627,1916,1
36,95,213,1
7,239,1692,1
28,516,311,0
18,263,348,0
31,499,967,1
2,117,532,0
26,397,313,0
41,1292,491,0
37,370,384,0
44,578,598,0
9,204,89,1
26,475,205,0
24,582,1126,0
3,237,449,1
44,208,188,1
23,1173,499,0
23,31,22,1
24,1267,1294,1
26,96,696,0
30,105,227,0
23,1786,508,0
23,791,1523,0
34,106,28,0
31,678,645,0
41,486,529,1
12,327,221,0
2,151,482,1
24,949,1058,1
5,72,116,1
31,362,199,0
32,79,138,0
41,1374,1463,1
22,1072,885,0
3,64,503,0
23,900,1372,0
41,539,448,0
37,78,98,1
44,167,106,0
30,565,909,0
9,447,498,0
23,1097,2,0
39,85,119,0
30,498,288,0
43,293,71,0
37,248,54,0
34,284,293,1
23,1853,2217,1
37,164,211,1
24,404,405,1
31,477,909,1
29,81,122,1
16,73,221,1
15,345,104,0
33,396,513,0
23,1688,49,0
31,636,1148,1
40,94,90,1
23,717,767,1
26,547,354,0
2,442,86,0
23,157,118,1
22,1061,912,0
23,405,351,1
40,255,14,0
12,456,901,0
12,457,680,0
34,349,34,0
36,73,371,0
33,394,661,0
7,238,1675,1
23,382,1117,0
30,593,956,1
42,437,463,1
42,336,95,0
23,175,704,0
9,615,908,1
31,64,370,0
42,404,604,0
9,70,209,0
41,306,284,1
44,507,569,0
8,20,69,1
31,38,510,0
25,123,394,0
24,368,376,1
43,41,36,1
6,125,762,0
30,413,808,0
2,432,1018,1
35,280,445,0
9,13,650,0
16,402,241,0
16,5,7,1
23,1377,1525,0
34,378,544,1
41,892,1131,1
22,356,207,1
22,795,1097,0
23,580,1788,0
18,118,429,0
36,130,127,0
44,389,400,1
43,31,470,0
24,676,775,1
44,272,256,1
9,466,571,0
8,3,823,0
27,207,382,0
24,1245,1273,1
22,395,111,0
22,787,303,0
6,130,84,0
23,466,945,0
41,629,777,1
23,829,906,1
41,249,207,1
3,93,178,1
33,362,11,0
40,167,215,1
28,278,672,1
1,202,219,0
28,386,796,0
41,958,1217,1
37,119,491,0
35,609,120,0
23,1247,857,0
35,512,498,0
17,169,295,0
17,259,359,1
32,40,190,1
23,1540,1806,1
33,339,654,1
